project,row_count,embedding_dimension,relative_path,sha256,size_bytes,encoder_id,model_id
BIRT,16905,384,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E1/shards/BIRT.parquet,6ab74e27bfd41fba62c35a69310d585fe7ddce595d8d56b05efb4acb135ecb48,24077294,E1,sentence-transformers/all-MiniLM-L6-v2
CDT,15764,384,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E1/shards/CDT.parquet,ad583287fc5cf2b933af26ff045941472e75044cc2b64b1a01fe62ff2a041df5,22445527,E1,sentence-transformers/all-MiniLM-L6-v2
EQUINOX,10498,384,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E1/shards/EQUINOX.parquet,fe9a0256d6dddb8095e4a1f4a443ab7dc18c89e26af569cdfcebe0b77bb3bc60,14946478,E1,sentence-transformers/all-MiniLM-L6-v2
JDT,42460,384,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E1/shards/JDT.parquet,0bf120e922d80b7cd1c08994d83ba0a348500e2515cf7544f167d8e6cd0134b1,60445835,E1,sentence-transformers/all-MiniLM-L6-v2
MYLYN,7738,384,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E1/shards/MYLYN.parquet,c43ab07525fa5bb07d0a79e0ca7249ed35239050a67c632f439ee803dec57d96,10998742,E1,sentence-transformers/all-MiniLM-L6-v2
PAPYRUS,8728,384,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E1/shards/PAPYRUS.parquet,c196694a8d034d1ce69c64be1af1865bc6112ebaa75e1858490ec6e51de52d28,12425112,E1,sentence-transformers/all-MiniLM-L6-v2
PDE,12474,384,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E1/shards/PDE.parquet,e0bb401fb5ee32014aed4c30062ba5b1f4352031edf085914a52844dbdec4594,17747573,E1,sentence-transformers/all-MiniLM-L6-v2
PLATFORM,85442,384,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E1/shards/PLATFORM.parquet,eb83a9984c52a640eda8236b1c93ea74d34082af57ae6deead5ff1b9fd0b993d,121589232,E1,sentence-transformers/all-MiniLM-L6-v2
TPTP,7566,384,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E1/shards/TPTP.parquet,1878b888384b528f7ecb351fed48444b27d088e178c327793d63d55e16a34486,10735785,E1,sentence-transformers/all-MiniLM-L6-v2
BIRT,16905,768,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E2/shards/BIRT.parquet,82458a84b82a105486932aef2e5e88ec509dd0b60ebab8b9d466227a3965b76b,48189203,E2,sentence-transformers/all-mpnet-base-v2
CDT,15764,768,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E2/shards/CDT.parquet,c697dc69bf71c5168dffbddc7ac0f31713defa31ada7889e429877f25829a17d,44962737,E2,sentence-transformers/all-mpnet-base-v2
EQUINOX,10498,768,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E2/shards/EQUINOX.parquet,ced9765a2c01ca75859b4a7d6a74ec341dd6bdb5c889eb7d73435c4a498cf1fe,29951186,E2,sentence-transformers/all-mpnet-base-v2
JDT,42460,768,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E2/shards/JDT.parquet,aa54eaa2c4c0fe86e5ac505b1ed43396862dc48625a4e652f82a09c423c46230,121131759,E2,sentence-transformers/all-mpnet-base-v2
MYLYN,7738,768,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E2/shards/MYLYN.parquet,44c7562547b754cee4cb9b46ac5c307181e2487450e9ce9fd20bb11f688fcc22,22029266,E2,sentence-transformers/all-mpnet-base-v2
PAPYRUS,8728,768,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E2/shards/PAPYRUS.parquet,b4f8fa40cc1f60fa845c5c155e353ed9b0e142cfde2453e9f79055dae5be6f8c,24895897,E2,sentence-transformers/all-mpnet-base-v2
PDE,12474,768,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E2/shards/PDE.parquet,7180412d3045b08c7ec96764447fb1a7fa7ea6bd78cb4915ba832bcf4cf6825a,35554444,E2,sentence-transformers/all-mpnet-base-v2
PLATFORM,85442,768,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E2/shards/PLATFORM.parquet,2dbee95281786ef74902550bdbff0ac1a47a80fc25c691bce81767c82908f06a,243647761,E2,sentence-transformers/all-mpnet-base-v2
TPTP,7566,768,/Users/eminaefendictrapo/Projects/master-defect-classification/data/processed/embeddings_v1/E2/shards/TPTP.parquet,aa8c613cd53bb599983010aa184938277bfd65870ba0eed5e48a0c757213497b,21453935,E2,sentence-transformers/all-mpnet-base-v2
